EuphemismID,lang,topic,topicEnglish,EuphemismTerm,DirectTerm
E-00041,aceh,Kehamilan Ektopik,Ectopic Pregnancy,halagan,Men
E-00042,aceh,Endometriosis,Endometriosis,halanga,Men
E-00043,aceh,Amenorrhea,Amenorrhea,halangan,Men
E-00044,aceh,Menstruasi,Menstruation,halangan/darah,Men
E-00045,aceh,Menstruasi,Menstruation,halangan/pendarahan,Men
E-00046,aceh,Menstruasi,Menstruation,halngan,Men
E-00047,aceh,Endometriosis,Endometriosis,hamil,Mume
E-00048,aceh,Hamil Anggur,Molar Pregnancy,hb,Meuhubungan Sex
E-00049,aceh,Menstruasi,Menstruation,hlangan,Men
E-00050,aceh,Endometriosis,Endometriosis,hubungan,Meuhubungan Sex
E-00051,aceh,Kehamilan,Pregnancy,hubungan badan,Meuhubungan Sex
E-00052,aceh,Endometriosis,Endometriosis,hubungan intim,Meuhubungan Sex
E-00053,aceh,Endometriosis,Endometriosis,intim,Meuhubungan Sex
E-00054,aceh,Endometriosis,Endometriosis,kandongan,Mume
E-00055,aceh,Endometriosis,Endometriosis,keguguran,Gugor
E-00056,aceh,Kista Ovarium,Ovarian Cyst,kemaluan,Boh Pek
E-00057,aceh,Kehamilan,Pregnancy,keputihan tapi encer,Leunde puteh ence
E-00058,aceh,Kanker Serviks,Cervical Cancer,keputihan warna coklat,Leunde Coklat
E-00059,aceh,Kanker Payudara,Breast Cancer,keturunan,Aneuk
E-00060,aceh,Menstruasi,Menstruation,klimaks jih memang idalam,Klimak i dalam
E-00061,aceh,Kanker Serviks,Cervical Cancer,malam pernikahan,Malam phon
E-00062,aceh,Menstruasi,Menstruation,mehubungan,Meuhubungan Sex
E-00063,aceh,Kista Ovarium,Ovarian Cyst,melakukan hubungan,Meuhubungan Sex
E-00064,aceh,Vagina,Vagina,melakukan sex,Meuhubungan Sex
E-00065,aceh,Endometriosis,Endometriosis,menstruasi,Men
E-00066,aceh,Endometriosis,Endometriosis,meu cewek,Meucewek
E-00067,aceh,Menstruasi,Menstruation,meu hubungan,Meuhubungan Sex
E-00068,aceh,Menopause,Menopause,meucinta,Meuhubungan Sex
E-00069,aceh,Menstruasi,Menstruation,meuhubunagn intim,Meuhubungan Sex
E-00070,aceh,Kehamilan,Pregnancy,meuhubunga,Meuhubungan Sex
E-00071,aceh,Amenorrhea,Amenorrhea,meuhubungan,Meuhubungan Sex
E-00072,aceh,Kehamilan,Pregnancy,meuhubungan badan,Meuhubungan Sex
E-00073,aceh,Kanker Serviks,Cervical Cancer,meuhubungan intim,Meuhubungan Sex
E-00074,aceh,Kanker Serviks,Cervical Cancer,meuhubungan ngen linto lon,Meuhubungan Sex
E-00075,aceh,Endometriosis,Endometriosis,meuhubungan ngon,Meuhubungan Sex
E-00076,aceh,Menopause,Menopause,meuhubungan ngon linto,Meuhubungan Sex
E-00077,aceh,Amenorrhea,Amenorrhea,meuhubungan ngon linto lon,Meuhubungan Sex
E-00078,aceh,Kanker Serviks,Cervical Cancer,meuhubungan ranjang,Meuhubungan Sex
E-00079,aceh,Candidiasis,Candidiasis (Yeast Infection),meuhubungan sek,Meuhubungan Sex
E-00080,aceh,Kehamilan,Pregnancy,meuhubungan sek ngon pasangan,Meuhubungan Sex
E-00081,aceh,Kanker Serviks,Cervical Cancer,meuhubungan seks,Meuhubungan Sex
E-00082,aceh,Hamil,Pregnant,meuhubungan suami istri,Meuhubungan Sex
E-00083,aceh,Menstruasi,Menstruation,meuhugungan,Meuhubungan Sex
E-00084,aceh,Vaginosis,Vaginosis,meuhungan,Meuhubungan Sex
E-00085,aceh,Menstruasi,Menstruation,meulakukan hubungan,Meuhubungan Sex
E-00086,aceh,Kehamilan,Pregnancy,meuninggai lam kandong,Gugor
E-00087,aceh,Kista Ovarium,Ovarian Cyst,meurumoh tangga,Meukawen
E-00088,aceh,Menstruasi,Menstruation,meutumeung,Troh Men
E-00089,aceh,Endometriosis,Endometriosis,miss v,Boh Pek
E-00090,aceh,Kanker Serviks,Cervical Cancer,ml,Meuhubungan Sex
E-00091,aceh,Kista Ovarium,Ovarian Cyst,momongan,Aneuk
E-00092,aceh,Menstruasi,Menstruation,muhubungan,Meuhubungan Sex
E-00093,aceh,Endometriosis,Endometriosis,na sinyak,Na aneuk
E-00094,aceh,Vaginosis Bakterialis,Bacterial Vaginosis,organ intim,Boh Pek
E-00095,aceh,Vaginosis Bakterialis,Bacterial Vaginosis,organ nyan,Boh
E-00096,aceh,Benjolan Payudara,Breast Lump,payudara,Mom
E-00097,aceh,Menstruasi,Menstruation,pd,Mom
E-00098,aceh,Kehamilan,Pregnancy,penis,Boh Kreh
E-00099,aceh,Vagina,Vagina,pepek,Boh Pek
E-00100,aceh,Menstruasi,Menstruation,petting,Meuhubungan Sex
E-00101,aceh,Kehamilan,Pregnancy,peugugor kandongan,Peugugor
E-00102,aceh,Hamil,Pregnant,peutubiet,Peutubiet Sperma
E-00103,aceh,Menstruasi,Menstruation,putubiet sperma,Peutubiet Sperma
E-00104,aceh,Menstruasi,Menstruation,sperma jitubiet i dalam,Sperma ji peutubiet i dalam
E-00105,aceh,Endometriosis,Endometriosis,tespek,Alat tes Mume
E-00106,aceh,Endometriosis,Endometriosis,troh buleun,Troh Men
E-00107,aceh,Vaginitis,Vaginitis,troh buluen,Troh Men
E-00108,aceh,Menstruasi,Menstruation,tubiet idalam,I tubiet i dalam
E-00109,aceh,Candidiasis,Candidiasis (Yeast Infection),ureung inoeng,Inoeng
E-00110,aceh,Preeklamsia,Preeclampsia,urine,Iek
E-00111,aceh,Vagina,Vagina,v,Boh Pek
E-00112,aceh,Candidiasis,Candidiasis (Yeast Infection),vagina,Boh Pek
E-00113,betawi,Menstruasi,Menstruation,alat kelamin,Memek
E-00114,betawi,Kanker Serviks,Cervical Cancer,alat kontrasepsi,Kondom
E-00115,betawi,Candidiasis,Candidiasis (Yeast Infection),alat reproduksi,Memek
E-00116,betawi,Menopause,Menopause,becinte,Seks
E-00117,betawi,Candidiasis,Candidiasis (Yeast Infection),begituan,Seks
E-00118,betawi,Menstruasi,Menstruation,begituan 3,Seks
E-00119,betawi,Menopause,Menopause,begituan ude aktip,Seks sering
E-00120,betawi,Kanker Serviks,Cervical Cancer,belah dalem,Belah dalem
E-00121,betawi,Hormon,Hormones / Hormonal Disorders,berek-berek darah,mencret darah
E-00122,betawi,Kista Ovarium,Ovarian Cyst,berume tangge,Kawin
E-00123,betawi,Kista Ovarium,Ovarian Cyst,daleman,"Beha, kancut"
E-00124,betawi,Hamil Anggur,Molar Pregnancy,dapet,Men
E-00125,betawi,Amenorrhea,Amenorrhea,di pake,Seks
E-00126,betawi,Menstruasi,Menstruation,diperlambat,Mundur
E-00127,betawi,Menstruasi,Menstruation,gugur,Janin mati
E-00128,betawi,Menstruasi,Menstruation,gugurin,Aborsi
E-00129,betawi,Aborsi,Abortion,gugurin kandungan,Aborsi
E-00130,betawi,Menstruasi,Menstruation,halangan,Men
E-00131,betawi,Infeksi Payudara,Breast Infection,inpeksi,Kena
E-00132,betawi,Vaginosis Bakterialis,Bacterial Vaginosis,intim,Seks
E-00133,betawi,Menstruasi,Menstruation,ivf,Bayi tabung
E-00134,betawi,Menopause,Menopause,kaga mude,Tua
E-00135,betawi,Kanker Serviks,Cervical Cancer,kebangetan aktip,Nyerangas
E-00136,betawi,Kanker Serviks,Cervical Cancer,kegiatan ranjang,Seks
E-00137,betawi,Kista Ovarium,Ovarian Cyst,kemaluan,Memek
E-00138,betawi,Infeksi Payudara,Breast Infection,kesumbat,Mampet
E-00139,betawi,Aborsi,Abortion,keturunan,Anak
E-00140,betawi,Hamil,Pregnant,konsultasi,Ngobrol
E-00141,betawi,Menstruasi,Menstruation,konsultasiin,Ngobrol
E-00142,betawi,Menstruasi,Menstruation,kontrasepsi,Kondom
E-00143,betawi,Kanker Serviks,Cervical Cancer,maen,Seks
E-00144,betawi,Amenorrhea,Amenorrhea,mao,Pengen
E-00145,betawi,Menstruasi,Menstruation,mase pertumbuhan,Perawan
E-00146,betawi,Endometriosis,Endometriosis,momongan,Anak
E-00147,betawi,Menstruasi,Menstruation,naeknye,Ngaceng
E-00148,betawi,Amenorrhea,Amenorrhea,netein,Nete
E-00149,betawi,Kanker Serviks,Cervical Cancer,ngelakuin kegiatan ranjang,Ngelakuin seks
E-00150,betawi,Amenorrhea,Amenorrhea,pengaman,Kondom
E-00151,betawi,Menstruasi,Menstruation,pipis,Kencing
E-00152,betawi,Menstruasi,Menstruation,rada berisi,Gendut
E-00153,betawi,Kanker Serviks,Cervical Cancer,rume tangge,Kawin
E-00154,betawi,Hamil Anggur,Molar Pregnancy,tespek,Tespek
E-00155,bugis,Kehamilan,Pregnancy,2 garisi,positif mattampu
E-00156,bugis,Kehamilan,Pregnancy,abbijakku,ana'ku
E-00157,bugis,Kista Ovarium,Ovarian Cyst,abbijaku,ana'ku
E-00158,bugis,Menstruasi,Menstruation,ana dara' mula pekke,ana' dara
E-00159,bugis,Kehamilan,Pregnancy,attampure,mattampu
E-00160,bugis,Kehamilan,Pregnancy,attampurekku,mattampuka
E-00161,bugis,Kehamilan,Pregnancy,attampureng,mattampu
E-00162,bugis,Menstruasi,Menstruation,attampurenge,mattampu
E-00163,bugis,Menstruasi,Menstruation,bab,Jambang
E-00164,bugis,Menstruasi,Menstruation,baerhubungan,Kendu
E-00165,bugis,Menstruasi,Menstruation,banjir,maega messu
E-00166,bugis,Kehamilan,Pregnancy,baunna meja,Makebbong
E-00167,bugis,Kanker Payudara,Breast Cancer,bayiku,Ana' lolo
E-00168,bugis,Kanker Payudara,Breast Cancer,benjolan,Mabuccung
E-00169,bugis,Benjolan Payudara,Breast Lump,benjolang,Mabbuccung
E-00170,bugis,Infeksi Payudara,Breast Infection,benjolanna,Mabuccung
E-00171,bugis,Endometriosis,Endometriosis,bercak,Sesa dara
E-00172,bugis,Menopause,Menopause,bercinta,Kendu
E-00173,bugis,Menstruasi,Menstruation,berhububungan,kendu
E-00174,bugis,Kanker Serviks,Cervical Cancer,berhubunga,kendu
E-00175,bugis,Candidiasis,Candidiasis (Yeast Infection),berhubungan,kendu
E-00176,bugis,Kehamilan,Pregnancy,berhubungan badan,ma' kendu
E-00177,bugis,Endometriosis,Endometriosis,berhubungan badang,ma' kendu
E-00178,bugis,Endometriosis,Endometriosis,berhubungan badanga,ma' kendu
E-00179,bugis,Kehamilan,Pregnancy,berhubungan bandang,ma' kendu
E-00180,bugis,Kehamilan,Pregnancy,berhubungan intik,ma' kendu
E-00181,bugis,Kanker Serviks,Cervical Cancer,berhubungan intim,ma' kendu
E-00182,bugis,Kanker Serviks,Cervical Cancer,berhubungan ranjang,ma' kendu
E-00183,bugis,Kanker Serviks,Cervical Cancer,berhubungang,ma' kendu
E-00184,bugis,Kanker Serviks,Cervical Cancer,berhubungang badan,ma' kendu
E-00185,bugis,Endometriosis,Endometriosis,berhubungang badang,ma' kendu
E-00186,bugis,Endometriosis,Endometriosis,berhubungang badanga,ma' kendu
E-00187,bugis,Kehamilan,Pregnancy,berhubunganga,kendu
E-00188,bugis,Kanker Serviks,Cervical Cancer,berhubunganh,kendu
E-00189,bugis,Endometriosis,Endometriosis,dara,cera
E-00190,bugis,Menstruasi,Menstruation,dekresi,Maddoko ati
E-00191,bugis,Endometriosis,Endometriosis,dokoku,Lasaku
E-00192,bugis,Endometriosis,Endometriosis,dua garisi,Positif Mattampu
E-00193,bugis,Endometriosis,Endometriosis,fle,Sesa dara
E-00194,bugis,Menstruasi,Menstruation,fleg,sesa dara
E-00195,bugis,Abortus Imminens,Threatened Abortion,flek,sesa dara
E-00196,bugis,Kehamilan,Pregnancy,flek pendarahan,sesa dara
E-00197,bugis,Menopause,Menopause,flek-flek,sesa dara
E-00198,bugis,Menstruasi,Menstruation,flekmi,sesa dara
E-00199,bugis,Menstruasi,Menstruation,fleksi,sesa dara
E-00200,bugis,Menstruasi,Menstruation,gangguan,kelainang
E-00201,bugis,Menstruasi,Menstruation,garisi 1,de'na mattampu
E-00202,bugis,Kehamilan,Pregnancy,garisi 2,positif mattampu
E-00203,bugis,Kehamilan,Pregnancy,gugurkan,mappalonco
E-00204,bugis,Endometriosis,Endometriosis,haid,maddara
E-00205,bugis,Kehamilan,Pregnancy,hubungan badang,ma' kendu
E-00206,bugis,Vaginismus,Vaginismus,hubungan lakkai bine,berhubungan badang
E-00207,bugis,Kanker Serviks,Cervical Cancer,hubungan seksual,ma'kendu
E-00208,bugis,Kanker Serviks,Cervical Cancer,hubungan suami ister,ma'kendu
E-00209,bugis,Endometriosis,Endometriosis,indokku,emmaku
E-00210,bugis,Menstruasi,Menstruation,jabbakku,jambang
E-00211,bugis,Vagina,Vagina,jerawat,sarussu
E-00212,bugis,Abortus Imminens,Threatened Abortion,keguguran,locco
E-00213,bugis,Endometriosis,Endometriosis,kegugurang,locco
E-00214,bugis,Endometriosis,Endometriosis,keguguranga,locco
E-00215,bugis,Kanker Serviks,Cervical Cancer,kegugurangi,loccoki
E-00216,bugis,Kehamilan,Pregnancy,kehamilan,mattampu
E-00217,bugis,Endometriosis,Endometriosis,kejadiang,appugau
E-00218,bugis,Menstruasi,Menstruation,kra,matojo bawwa
E-00219,bugis,Kanker Serviks,Cervical Cancer,kram,matojo bawwa
E-00220,bugis,Menstruasi,Menstruation,kumadoko-doko,malasa
E-00221,bugis,Candidiasis,Candidiasis (Yeast Infection),lasa,lasa
E-00222,bugis,Kanker Serviks,Cervical Cancer,lisui dipammasena,matei
E-00223,bugis,Kista Ovarium,Ovarian Cyst,ma bbau,makebbong
E-00224,bugis,Candidiasis,Candidiasis (Yeast Infection),mabbau,makebbong
E-00225,bugis,Endometriosis,Endometriosis,macakka,paja
E-00226,bugis,Endometriosis,Endometriosis,macakkana,pajana
E-00227,bugis,Kehamilan,Pregnancy,macareoa,maddara
E-00228,bugis,Candidiasis,Candidiasis (Yeast Infection),macarepa,Maddara
E-00229,bugis,Hormon,Hormones / Hormonal Disorders,macarepaka,maddaraka
E-00230,bugis,Kehamilan,Pregnancy,macarepaku,maddaraku
E-00231,bugis,Menstruasi,Menstruation,macarepana,maddaraku
E-00232,bugis,Menstruasi,Menstruation,macarrepa,maddara
E-00233,bugis,Amenorrhea,Amenorrhea,maccera,maddara
E-00234,bugis,Menstruasi,Menstruation,macera,maddara
E-00235,bugis,Menstruasi,Menstruation,macerap,maddara
E-00236,bugis,Menstruasi,Menstruation,macerapa,maddara
E-00237,bugis,Menstruasi,Menstruation,macerpa,maddara
E-00238,bugis,Endometriosis,Endometriosis,madoko,malasa
E-00239,bugis,Endometriosis,Endometriosis,madoko-doko,malasa
E-00240,bugis,Kista Ovarium,Ovarian Cyst,madoko-dokoka,lasaku
E-00241,bugis,Kehamilan Ektopik,Ectopic Pregnancy,madoko-dokoku,malasaku
E-00242,bugis,Menstruasi,Menstruation,madokoko-doko,malasa
E-00243,bugis,Kista Ovarium,Ovarian Cyst,mamanna,memmana
E-00244,bugis,Kanker Payudara,Breast Cancer,mammana,memmana
E-00245,bugis,Kista Ovarium,Ovarian Cyst,mapaccing,paja maddara
E-00246,bugis,Benjolan Payudara,Breast Lump,mappasusu,mappasusu
E-00247,bugis,Kanker Serviks,Cervical Cancer,mappogau di ranjang e,ma' kendu ri ranjang e
E-00248,bugis,Kanker Serviks,Cervical Cancer,mappogau di ranjange,ma'kendu ri ranjang e
E-00249,bugis,Endometriosis,Endometriosis,maru'rukka,talluwa-luwa
E-00250,bugis,Hormon,Hormones / Hormonal Disorders,masala,kelainang
E-00251,bugis,Kehamilan,Pregnancy,matampu,mallise
E-00252,bugis,Endometriosis,Endometriosis,matojo,mapeddi bawwa
E-00253,bugis,Vaginosis Bakterialis,Bacterial Vaginosis,mattampi,mallise
E-00254,bugis,Abortus Imminens,Threatened Abortion,mattampu,mallise
E-00255,bugis,Kanker Serviks,Cervical Cancer,mattampue,mallise
E-00256,bugis,Endometriosis,Endometriosis,mattampuka,malliseka
E-00257,bugis,Endometriosis,Endometriosis,mattampuki,malliseki
E-00258,bugis,Kehamilan,Pregnancy,mattampukka,malliseka
E-00259,bugis,Kehamilan,Pregnancy,mattampuku,mallise
E-00260,bugis,Kehamilan Ektopik,Ectopic Pregnancy,mattampunna,mallisena
E-00261,bugis,Preeklamsia,Preeclampsia,mattapu,mallise
E-00262,bugis,Kehamilan,Pregnancy,matttampu,mallise
E-00263,bugis,Kanker Serviks,Cervical Cancer,mberhubungang badang,ma' kendu
E-00264,bugis,Kanker Serviks,Cervical Cancer,memana,memmana
E-00265,bugis,Menstruasi,Menstruation,memanna,memmana
E-00266,bugis,Amenorrhea,Amenorrhea,memmana,memmana
E-00267,bugis,Menstruasi,Menstruation,memmanaka,memmanaka
E-00268,bugis,Menstruasi,Menstruation,memmanakku,memmanaka
E-00269,bugis,Kehamilan,Pregnancy,memmna,memmana
E-00270,bugis,Kehamilan,Pregnancy,menstruasi,maddara
E-00271,bugis,Endometriosis,Endometriosis,miss v,sombi
E-00272,bugis,Kanker Serviks,Cervical Cancer,ml,ma'kendu
E-00273,bugis,Kanker Serviks,Cervical Cancer,mual,elo talluwa
E-00274,bugis,Kista Ovarium,Ovarian Cyst,nammanareng,memmana
E-00275,bugis,Kehamilan,Pregnancy,nipas,Pura Mappuan'
E-00276,bugis,Candidiasis,Candidiasis (Yeast Infection),normal,biasa e
E-00277,bugis,Endometriosis,Endometriosis,nyeri,mapeddi
E-00278,bugis,Kanker Payudara,Breast Cancer,nyero,mapeddi
E-00279,bugis,Kehamilan,Pregnancy,obat,fabbura
E-00280,bugis,Vaginosis Bakterialis,Bacterial Vaginosis,organ intim,sombi
E-00281,bugis,Kista Ovarium,Ovarian Cyst,organ vital,lise' laleng
E-00282,bugis,Menstruasi,Menstruation,pammasena puange,pawalei
E-00283,bugis,Kanker Serviks,Cervical Cancer,parellu dipogau,parellu dipogau
E-00284,bugis,Menstruasi,Menstruation,pernikahan,abbottingeng
E-00285,bugis,Menstruasi,Menstruation,pms,maddara
E-00286,bugis,Menstruasi,Menstruation,runtuka perawatan,mabbura
E-00287,bugis,Endometriosis,Endometriosis,seks,berhubungan badang
E-00288,bugis,Endometriosis,Endometriosis,sesa cera,sesa dara
E-00289,bugis,Menstruasi,Menstruation,sesa dar,sesa dara
E-00290,bugis,Menstruasi,Menstruation,sibawakku,silokku
E-00291,bugis,Kehamilan,Pregnancy,sibawaku,sibawakku
E-00292,bugis,Candidiasis,Candidiasis (Yeast Infection),sombong,sombi
E-00293,bugis,Candidiasis,Candidiasis (Yeast Infection),sombongku,sombi
E-00294,bugis,Kehamilan,Pregnancy,susui,susu
E-00295,bugis,Benjolan Payudara,Breast Lump,susuku,susukku
E-00296,bugis,Radang Payudara,Breast Inflammation (Mastitis),susué,susu
E-00297,bugis,Kehamilan,Pregnancy,tampunna,mattampu
E-00298,bugis,Hamil,Pregnant,vagina,Lessi
E-00299,bugis,Menstruasi,Menstruation,vercak,dara massu
E-00300,bugis,Aborsi,Abortion,wija,Ana'
E-00301,bugis,Kista Ovarium,Ovarian Cyst,wijakku,anakku
E-00302,indonesia,Menstruasi,Menstruation,2 garis,hamil
E-00303,indonesia,Kehamilan,Pregnancy,alat kelamin,penis / vagina
E-00304,indonesia,Endometriosis,Endometriosis,bab,berak
E-00305,indonesia,Kanker Serviks,Cervical Cancer,bak,kencing
E-00306,indonesia,Vaginitis,Vaginitis,berbgan badan,berhubungan seks
E-00307,indonesia,Menopause,Menopause,bercinta,berhubungan seks
E-00308,indonesia,Vaginitis,Vaginitis,berhbungan intim,berhubungan seks
E-00309,indonesia,Menstruasi,Menstruation,berhub,berhubungan seks
E-00310,indonesia,Vaginosis,Vaginosis,berhub intim,berhubungan seks
E-00311,indonesia,Kehamilan,Pregnancy,berhubangan,berhubungan seks
E-00312,indonesia,Servisitis,Cervicitis,berhubgan bdan,berhubungan seks
E-00313,indonesia,Candidiasis,Candidiasis (Yeast Infection),berhubungan,berhubungan seks
E-00314,indonesia,Endometriosis,Endometriosis,berhubungan badan,berhubungan seks
E-00315,indonesia,Vaginitis,Vaginitis,berhubungan bdan,berhubungan seks
E-00316,indonesia,Endometriosis,Endometriosis,berhubungan intim,berhubungan seks
E-00317,indonesia,Menstruasi,Menstruation,berhubungan intin,berhubungan seks
E-00318,indonesia,Hamil,Pregnant,berhubungan suami istri,berhubungan seks
E-00319,indonesia,Vaginosis Bakterialis,Bacterial Vaginosis,berhubungn badan,berhubungan seks
E-00320,indonesia,Vaginitis,Vaginitis,berhubungn intim,berhubungan seks
E-00321,indonesia,Menstruasi,Menstruation,berhunbungan,berhubungan seks
E-00322,indonesia,Menstruasi,Menstruation,berhungan,berhubungan seks
E-00323,indonesia,Servisitis,Cervicitis,berhungan badan,berhubungan seks
E-00324,indonesia,Kista Ovarium,Ovarian Cyst,berumah tangga,menikah
E-00325,indonesia,Vaginitis,Vaginitis,brhbungan suami istri,berhubungan seks
E-00326,indonesia,Kanker Serviks,Cervical Cancer,brhubungan,berhubungan seks
E-00327,indonesia,Endometriosis,Endometriosis,buang air besar,berak
E-00328,indonesia,Endometriosis,Endometriosis,buang air kecil,kencing
E-00329,indonesia,Kehamilan,Pregnancy,buang angin,kentut
E-00330,indonesia,Kehamilan,Pregnancy,caps,kondom
E-00331,indonesia,Vaginitis,Vaginitis,co,berhubungan seks
E-00332,indonesia,Vagina,Vagina,daerah kewanitaan,vagina
E-00333,indonesia,Endometriosis,Endometriosis,dapat,menstruasi
E-00334,indonesia,Menstruasi,Menstruation,databg bulan,menstruasi
E-00335,indonesia,Endometriosis,Endometriosis,datang bulan,menstruasi
E-00336,indonesia,Kanker Serviks,Cervical Cancer,datang terlambat bulan,menstruasi
E-00337,indonesia,Endometriosis,Endometriosis,datg bulan,menstruasi
E-00338,indonesia,Menstruasi,Menstruation,dtang bulan,menstruasi
E-00339,indonesia,Vaginitis,Vaginitis,dteng bln,menstruasi
E-00340,indonesia,Endometriosis,Endometriosis,dtg bulan,menstruasi
E-00341,indonesia,Menstruasi,Menstruation,dtng bln,menstruasi
E-00342,indonesia,Kehamilan,Pregnancy,garis 2,hamil
E-00343,indonesia,Menstruasi,Menstruation,garis dua,hamil
E-00344,indonesia,Vaginosis Bakterialis,Bacterial Vaginosis,had,menstruasi
E-00345,indonesia,Menstruasi,Menstruation,haed,menstruasi
E-00346,indonesia,Amenorrhea,Amenorrhea,haid,menstruasi
E-00347,indonesia,Menstruasi,Menstruation,hait,menstruasi
E-00348,indonesia,Kehamilan,Pregnancy,halangan,menstruasi
E-00349,indonesia,Menstruasi,Menstruation,halangannya,menstruasi
E-00350,indonesia,Menstruasi,Menstruation,halngn,menstruasi
E-00351,indonesia,Hamil Anggur,Molar Pregnancy,hb,berhubungan seks
E-00352,indonesia,Menstruasi,Menstruation,hbngn intim,berhubungan seks
E-00353,indonesia,Endometriosis,Endometriosis,head,menstruasi
E-00354,indonesia,Menstruasi,Menstruation,hub,berhubungan seks
E-00355,indonesia,Menopause,Menopause,hub dengan suami,berhubungan seks
E-00356,indonesia,Menstruasi,Menstruation,hub intim,berhubungan seks
E-00357,indonesia,Menstruasi,Menstruation,hub sex,berhubungan seks
E-00358,indonesia,Kanker Serviks,Cervical Cancer,hubungan,berhubungan seks
E-00359,indonesia,Kanker Serviks,Cervical Cancer,hubungan intim,berhubungan seks
E-00360,indonesia,Menstruasi,Menstruation,hubungan rumah tangga,berhubungan seks
E-00361,indonesia,Endometriosis,Endometriosis,intim,berhubungan seks
E-00362,indonesia,Aborsi,Abortion,kandungan,hamil
E-00363,indonesia,Endometriosis,Endometriosis,kb,kontrasepsi
E-00364,indonesia,Amenorrhea,Amenorrhea,kb suntik,kontrasepsi
E-00365,indonesia,Kanker Serviks,Cervical Cancer,kegiatan ranjang,berhubungan seks
E-00366,indonesia,Candidiasis,Candidiasis (Yeast Infection),keputihan,cairan vagina
E-00367,indonesia,Aborsi,Abortion,keturunan,anak
E-00368,indonesia,Menstruasi,Menstruation,kondom,kondom
E-00369,indonesia,Menstruasi,Menstruation,m,menstruasi
E-00370,indonesia,Vagina,Vagina,mis v,vagina
E-00371,indonesia,Candidiasis,Candidiasis (Yeast Infection),miss v,vagina
E-00372,indonesia,Kanker Serviks,Cervical Cancer,ml,berhubungan seks
E-00373,indonesia,Vaginitis,Vaginitis,momogan,anak
E-00374,indonesia,Endometriosis,Endometriosis,momongan,anak
E-00375,indonesia,Menstruasi,Menstruation,morning sick,mual dan muntah di pagi hari
E-00376,indonesia,Vaginitis,Vaginitis,mrs.v,vagina
E-00377,indonesia,Endometriosis,Endometriosis,ms v,vagina
E-00378,indonesia,Vagina,Vagina,ms. v,vagina
